fpl_id,player_name,full_name,team_code,position,price,selected_by_percent,form,points_per_game,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,fpl_team_id,short_name,team_name
54,McGinn,John McGinn,7,3,5.4,0.8,3.2,2.9,50,1,2,6,1317,3,0,1,217.8,348.3,112.0,68.1,a,,,7.0,CHE,Chelsea FC
55,Barkley,Ross Barkley,7,3,4.8,0.0,0.2,2.1,15,1,1,0,114,0,0,0,51.8,33.7,55.0,14.0,i,Knee injury - Expected back 07 Feb,0.0,7.0,CHE,Chelsea FC
56,Barrenechea,Enzo Barrenechea,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Season-long loan to Benfica,0.0,7.0,CHE,Chelsea FC
57,Dobbin,Lewis Dobbin,7,3,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Preston North End on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
58,Kamara,Boubacar Kamara,7,3,4.9,0.7,4.3,3.5,53,1,3,4,1157,4,0,7,273.8,179.9,49.0,50.4,a,,100.0,7.0,CHE,Chelsea FC
59,Onana,Amadou Onana,7,3,4.8,0.8,3.3,3.7,44,2,0,3,810,2,0,3,232.2,57.9,65.0,35.5,a,,100.0,7.0,CHE,Chelsea FC
60,Broggio,Ben Broggio,7,3,4.5,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
61,Dendoncker,Leander Dendoncker,7,3,4.5,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Real Oviedo permanently.,0.0,7.0,CHE,Chelsea FC
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,7,3,4.5,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
63,Young,Kadan Young,7,3,4.3,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
64,Watkins,Ollie Watkins,7,4,8.5,7.2,4.3,3.2,55,3,2,5,1267,0,0,5,179.8,154.5,398.0,73.1,a,,100.0,7.0,CHE,Chelsea FC
65,Redmond,Zépiqueno Redmond,7,4,4.5,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Huddersfield Town on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
389,Elliott,Harvey Elliott,7,3,5.2,0.2,0.0,1.0,4,0,0,0,97,0,0,0,8.6,17.8,18.0,4.4,d,Illness - 75% chance of playing,75.0,7.0,CHE,Chelsea FC
456,Sancho,Jadon Sancho,7,3,5.8,0.2,0.3,1.0,7,0,0,0,126,0,0,0,23.4,65.9,72.0,16.3,a,,100.0,7.0,CHE,Chelsea FC
677,Guessand,Evann Guessand,7,3,6.2,0.0,1.5,1.9,23,0,2,1,511,0,0,0,75.4,42.4,109.0,22.3,n,On international duty at the Africa Cup of Nations from Gameweek 18 onwards. - Unknown return date,0.0,7.0,CHE,Chelsea FC
688,Wright,James Wright,7,1,3.9,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
701,Rowe,Triston Rowe,7,2,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Annecy on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
702,Burrowes,Bradley Burrowes,7,3,4.4,0.1,0.0,1.0,1,0,0,0,16,0,0,0,0.0,0.3,0.0,0.0,a,,,7.0,CHE,Chelsea FC
703,Proctor,Sam Proctor,7,1,3.9,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
710,Patterson,Travis Patterson,7,2,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
719,Lindelöf,Victor Lindelöf,7,2,4.5,0.1,1.2,1.7,10,0,1,0,205,0,0,0,47.8,12.9,2.0,6.4,a,,100.0,7.0,CHE,Chelsea FC
754,George Hemmings,George Hemmings,7,3,4.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
757,Hollingshead,Ronnie Hollingshead,7,1,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
768,Leon Routh,Leon Routh,7,2,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
183,Weiss,Max Weiß,90,1,4.3,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
184,Green,Etienne Green,90,1,4.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined FC Fredericia permanently.,0.0,,,
185,Hladký,Václav Hladký,90,1,3.9,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
186,Roberts,Connor Roberts,90,2,4.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,i,Achilles injury - Unknown return date,0.0,,,
187,Walker,Kyle Walker,90,2,4.4,1.2,1.2,2.2,36,0,1,2,1426,5,0,3,248.4,75.5,18.0,34.3,a,,100.0,,,
188,Delcroix,Hannes Delcroix,90,2,3.8,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
189,Dodgson,Owen Dodgson,90,2,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Stockport County on loan for the rest of the season.,0.0,,,
190,Ekdal,Hjalmar Ekdal,90,2,3.9,0.9,1.7,2.7,30,0,0,1,893,0,0,1,201.6,29.5,69.0,30.1,a,,,,,
191,Estève,Maxime Estève,90,2,3.9,10.6,1.8,2.6,42,0,0,2,1432,0,0,0,340.6,67.2,60.0,47.0,d,Knock - 75% chance of playing,75.0,,,
192,Hartman,Quilindschy Hartman,90,2,4.0,1.0,1.5,3.1,46,0,5,2,1337,1,0,0,305.4,228.9,57.0,59.2,a,,,,,
193,Humphreys,Bashir Humphreys,90,2,3.9,0.1,0.0,0.0,0,0,0,0,2,0,0,0,0.2,0.0,0.0,0.0,a,,100.0,,,
194,Jordan,Jordan Beyer,90,2,3.9,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,i,Hamstring injury - Unknown return date,0.0,,,
195,Lucas Pires,Lucas Pires Silva,90,2,3.8,0.2,-0.2,0.0,0,0,0,0,141,0,1,0,19.0,26.3,5.0,4.9,a,,100.0,,,
196,Sambo,Shurandy Sambo,90,2,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Sparta Rotterdam on loan for the rest of the season.,0.0,,,
197,Sonne,Oliver Sonne,90,2,3.8,0.3,1.3,2.2,11,1,0,0,128,0,0,0,42.2,17.5,23.0,8.2,a,,,,,
198,Tuanzebe,Axel Tuanzebe,90,2,3.9,1.2,0.2,2.2,18,0,0,1,706,1,0,0,149.8,8.6,0.0,16.0,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0,,,
199,Worrall,Joe Worrall,90,2,3.8,0.2,0.5,1.2,7,0,0,0,154,0,0,0,42.4,0.8,2.0,4.6,a,,,,,
200,Anthony,Jaidon Anthony,90,3,5.2,2.3,1.5,3.5,60,4,2,3,1122,3,0,5,261.6,203.6,245.0,70.9,a,,100.0,,,
201,Benson,Manuel Benson Hedilazio,90,3,5.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Swansea City on loan for the rest of the season.,0.0,,,
202,Bruun Larsen,Jacob Bruun Larsen,90,3,5.3,0.0,1.5,1.7,26,0,1,2,711,0,0,0,97.6,159.7,113.0,37.1,a,,100.0,,,
203,Boateng,Enock Agyei,90,3,4.7,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,
204,Churlinov,Darko Churlinov,90,3,4.9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Kocaelispor  permanently.,0.0,,,
205,Cullen,Josh Cullen,90,3,5.0,1.9,2.3,4.1,69,2,2,3,1461,2,0,8,337.6,214.6,91.0,64.5,a,,,,,
206,Edwards,Marcus Edwards,90,3,4.7,0.1,1.2,1.4,10,0,1,0,96,0,0,0,34.8,57.3,42.0,13.2,a,,,,,
